EVENT_CREATED_AT,Agency_ID,Provider_ID,REQUEST
2025-05-08 01:47:43.929,3686,1116,"{""sessionId"": ""20250508|20250509|en_US|US|USD|2A0C|3686|HyWGR|1746668845416Vdbk"", ""hotelCode"": 848272, ""rateDetailCode"": ""1116-848272|NRFN|202505041000|1|M|R1200|25989"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""7375706572696f72206b696e6720726f6f6d20776974682073696e676c6520736f666120626564|1""}]}, ""timeout"": 28000}"
2025-05-08 01:47:53.695,3686,1116,"{""sessionId"": ""20250508|20250509|en_US|US|USD|2A0C|3686|HyWGR|1746668844481aBbG"", ""hotelCode"": 848272, ""rateDetailCode"": ""1116-848272|NRFN|202505041000|1|M|R1200|25989"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""7375706572696f72206b696e6720726f6f6d20776974682073696e676c6520736f666120626564|1""}]}, ""timeout"": 28000}"
2025-05-08 01:48:37.930,3686,319,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746668899428iaWx"", ""hotelCode"": 127402, ""rateDetailCode"": ""319-127402|NRFN|TD|15|M|R1200|5585"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""7374616e646172642031206b696e6720626564|1""}]}, ""timeout"": 28000}"
2025-05-08 01:48:47.704,3686,577,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746668916862YzEn"", ""hotelCode"": 124415, ""rateDetailCode"": ""577-124415|NRFN|202505060159|1|M|R1190|10384"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""3220646f75626c652062656473|1""}]}, ""timeout"": 28000}"
2025-05-08 01:48:49.125,3686,319,"{""sessionId"": ""20250509|20250510|en_US|US|USD|2A0C|3686|HyWGR|1746668858952rufw"", ""hotelCode"": 108776, ""rateDetailCode"": ""319-108776|NRFN|TD|1|M|R1200|9881"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""31206b696e6720626564207375697465|1""}]}, ""timeout"": 28000}"
2025-05-08 01:48:52.729,3686,319,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746668929322LZce"", ""hotelCode"": 186522, ""rateDetailCode"": ""319-186522|NRFN|196912311000|18|M|R1200|6813"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""31206b696e67206265642c2061636365737369626c65|1""}]}, ""timeout"": 28000}"
2025-05-08 01:50:05.537,3686,319,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669002251LPoj"", ""hotelCode"": 127392, ""rateDetailCode"": ""319-127392|NRFN|TD|13|M|R1200|6401"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""7374616e64617264203220646f75626c652062656473|1""}]}, ""timeout"": 28000}"
2025-05-08 01:51:56.466,3686,319,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669094143bJCT"", ""hotelCode"": 117785, ""rateDetailCode"": ""319-117785|NRFN|TD|11|M|R1200|4687"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""31206b696e6720626564|1""}]}, ""timeout"": 28000}"
2025-05-08 01:52:03.938,3686,319,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669120449fzok"", ""hotelCode"": 140037, ""rateDetailCode"": ""319-140037|NRFN|TD|6|M|R1200|5301"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""73747564696f203120717565656e20626564|1""}]}, ""timeout"": 28000}"
2025-05-08 01:53:01.426,3686,1281,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669177574QBoO"", ""hotelCode"": 129117, ""rateDetailCode"": ""1281-129117|NRFN|202208111000|8|M|R1200|7267"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""3220646f75626c6520626564732c206e6f6e2d736d6f6b696e67|1""}]}, ""timeout"": 28000}"
