Date,Hour,SUPPLIER,SUPPLIER_HOTEL_ID,HOTEL_NAME,StatusMessage
2025-05-08,5,nutmd,114635,The Westin Los Angeles Airport,
2025-05-08,5,nutmd,139407,Harrah's Laughlin Beach Resort & Casino,
2025-05-08,5,nutmd,139407,Harrah's Laughlin Beach Resort & Casino,
2025-05-08,5,nutmd,161827,Days Inn By Wyndham Pleasant Prairie Kenosha,
2025-05-08,5,nutmd,182701,Monte Carlo Inn Airport Suites,
2025-05-08,5,nutmd,1791851,The L Hotel,
2025-05-08,5,nutmd,139247,DoubleTree By Hilton Hartford Downtown,
2025-05-08,5,nutmd,139247,DoubleTree By Hilton Hartford Downtown,
2025-05-08,5,nutmd,1791851,The L Hotel,
2025-05-08,5,nutmd,1791851,The L Hotel,
2025-05-08,5,nutmd,117683,DoubleTree By Hilton LAX - El Segundo,
2025-05-08,5,nutmd,670404,"My Place Hotel - Boise/Meridian, ID",
2025-05-08,5,nutmd,256495,Sleep Inn & Suites Palatka North,
2025-05-08,5,nutmd,129698,Studio City Court Yard Hotel,
2025-05-08,5,nutmd,163751,The Watergate Hotel,
2025-05-08,5,nutmd,129698,Studio City Court Yard Hotel,
2025-05-08,5,nutmd,150523,HomeTowne Studios By Red Roof Denver - Airport/ Aurora,
2025-05-08,5,nutmd,1700163888,Quality Inn & Suites Evansville Downtown,
2025-05-08,5,nutmd,106251,Hilton Houston Post Oak By The Galleria,
2025-05-08,5,nutmd,106251,Hilton Houston Post Oak By The Galleria,
2025-05-08,5,nutmd,450327,Hôtel Gaythering - Gay Hotel - All Adults Welcome,
2025-05-08,5,nutmd,108495,DoubleTree By Hilton Chicago - Magnificent Mile,
2025-05-08,5,nutmd,529455,Travelodge By Wyndham Grand Falls,
2025-05-08,5,nutmd,529455,Travelodge By Wyndham Grand Falls,
2025-05-08,5,nutmd,174079,Rodeway Inn San Diego Near SDSU,
2025-05-08,5,nutmd,139583,The Westin Lake Las Vegas Resort & Spa,
2025-05-08,5,nutmd,139583,The Westin Lake Las Vegas Resort & Spa,
2025-05-08,5,nutmd,529455,Travelodge By Wyndham Grand Falls,
2025-05-08,5,nutmd,127368,Red Roof Inn Philadelphia - Trevose,
2025-05-08,5,nutmd,231885,Wyndham Garden Wismar,
2025-05-08,5,nutmd,231885,Wyndham Garden Wismar,
2025-05-08,5,nutmd,127689,MHO Hotel Bordentown,
2025-05-08,5,nutmd,164426,Sonesta Simply Suites Silicon Valley Santa Clara,
2025-05-08,5,nutmd,164426,Sonesta Simply Suites Silicon Valley Santa Clara,
2025-05-08,5,nutmd,127689,MHO Hotel Bordentown,
2025-05-08,5,nutmd,193214,Mardi Gras Hotel & Casino,
2025-05-08,5,nutmd,193214,Mardi Gras Hotel & Casino,
2025-05-08,5,nutmd,630471,Radisson RED Minneapolis Downtown,
2025-05-08,5,nutmd,115638,JW Marriott Desert Springs Resort & Spa,
2025-05-08,5,nutmd,273005,Days Inn By Wyndham Chula Vista/San Diego,
2025-05-08,5,nutmd,106417,Omni Rancho Las Palmas Resort & Spa,
2025-05-08,5,nutmd,106417,Omni Rancho Las Palmas Resort & Spa,
2025-05-08,5,nutmd,245090,Quality Inn Tracy I-205,
2025-05-08,5,nutmd,427945,"Radisson Hotel & Convention Centre Johannesburg, O.R. Tambo",
2025-05-08,5,nutmd,121751,Waikiki Beach Marriott Resort & Spa,
2025-05-08,5,nutmd,515507,The Yosemite Inn,
2025-05-08,5,nutmd,139583,The Westin Lake Las Vegas Resort & Spa,
2025-05-08,5,nutmd,139583,The Westin Lake Las Vegas Resort & Spa,
2025-05-08,5,nutmd,139583,The Westin Lake Las Vegas Resort & Spa,
2025-05-08,5,nutmd,139583,The Westin Lake Las Vegas Resort & Spa,
2025-05-08,5,nutmd,271729,Santa Fe Inn Los Angeles,
2025-05-08,5,nutmd,271729,Santa Fe Inn Los Angeles,
2025-05-08,5,nutmd,206132,Legacy Vacation Resorts Reno,
2025-05-08,5,nutmd,454141,Econo Lodge Midvale,
2025-05-08,5,nutmd,127368,Red Roof Inn Philadelphia - Trevose,
2025-05-08,5,nutmd,507571,"Seacliff Inn Aptos, Tapestry Collection By Hilton",
2025-05-08,5,nutmd,507571,"Seacliff Inn Aptos, Tapestry Collection By Hilton",
2025-05-08,5,nutmd,113149,Harrahs Las Vegas Hotel And Casino,
2025-05-08,5,nutmd,113149,Harrahs Las Vegas Hotel And Casino,
2025-05-08,5,nutmd,117683,DoubleTree By Hilton LAX - El Segundo,
2025-05-08,5,nutmd,117683,DoubleTree By Hilton LAX - El Segundo,
2025-05-08,5,nutmd,212883,Quality Inn,
2025-05-08,6,nutmd,110794,Sheraton Pittsburgh Airport Hotel,
2025-05-08,6,nutmd,495430,Best Western El Grande Inn,
2025-05-08,6,nutmd,1861446,Home2 Suites By Hilton Duncan,
2025-05-08,6,nutmd,443716,Rodeway Inn Phoenix North I-17,
2025-05-08,6,nutmd,112745,La Quinta Inn By Wyndham Bakersfield South,
2025-05-08,6,nutmd,112745,La Quinta Inn By Wyndham Bakersfield South,
2025-05-08,6,nutmd,112745,La Quinta Inn By Wyndham Bakersfield South,
2025-05-08,6,nutmd,218157,Royal Palace Westwood,
2025-05-08,6,nutmd,218157,Royal Palace Westwood,
2025-05-08,6,nutmd,209189,Best Western Garden Villa Inn,
2025-05-08,6,nutmd,112914,Flamingo Las Vegas Hotel & Casino,
2025-05-08,6,nutmd,106129,A Victory Inn Tolleson,
2025-05-08,6,nutmd,106129,A Victory Inn Tolleson,
2025-05-08,6,nutmd,129979,"La Quinta Resort & Club, Curio Collection By Hilton",
2025-05-08,6,nutmd,129979,"La Quinta Resort & Club, Curio Collection By Hilton",
2025-05-08,6,nutmd,233620,Baymont By Wyndham Odessa University Area,
2025-05-08,6,nutmd,129979,"La Quinta Resort & Club, Curio Collection By Hilton",
2025-05-08,6,nutmd,233620,Baymont By Wyndham Odessa University Area,
2025-05-08,6,nutmd,233620,Baymont By Wyndham Odessa University Area,
2025-05-08,6,nutmd,112870,Hilton Los Angeles Airport,
2025-05-08,6,nutmd,119599,Sonesta Select Atlanta Duluth,
2025-05-08,6,nutmd,233620,Baymont By Wyndham Odessa University Area,
2025-05-08,6,nutmd,233620,Baymont By Wyndham Odessa University Area,
2025-05-08,6,nutmd,233620,Baymont By Wyndham Odessa University Area,
2025-05-08,6,nutmd,192680,Baymont By Wyndham Easley/Greenville,
2025-05-08,6,nutmd,192680,Baymont By Wyndham Easley/Greenville,
2025-05-08,6,nutmd,111279,Eastside Lodge,
2025-05-08,6,nutmd,111279,Eastside Lodge,
2025-05-08,6,nutmd,111279,Eastside Lodge,
2025-05-08,6,nutmd,234961,Super 8 By Wyndham Beckley,
2025-05-08,6,nutmd,234961,Super 8 By Wyndham Beckley,
2025-05-08,6,nutmd,234961,Super 8 By Wyndham Beckley,
2025-05-08,6,nutmd,111279,Eastside Lodge,
2025-05-08,6,nutmd,111279,Eastside Lodge,
2025-05-08,6,nutmd,410064,DeLorenzo's Studio Apartments,
2025-05-08,6,nutmd,234961,Super 8 By Wyndham Beckley,
2025-05-08,6,nutmd,234961,Super 8 By Wyndham Beckley,
2025-05-08,6,nutmd,234961,Super 8 By Wyndham Beckley,
2025-05-08,6,nutmd,234961,Super 8 By Wyndham Beckley,
2025-05-08,6,nutmd,234961,Super 8 By Wyndham Beckley,
2025-05-08,6,nutmd,164431,Sonesta Simply Suites Parsippany Morris Plains,
2025-05-08,6,nutmd,565471,"The Hi-Lo, Autograph Collection",
2025-05-08,6,nutmd,565471,"The Hi-Lo, Autograph Collection",
2025-05-08,6,nutmd,565471,"The Hi-Lo, Autograph Collection",
2025-05-08,6,nutmd,565471,"The Hi-Lo, Autograph Collection",
2025-05-08,6,nutmd,203817,Sonesta Essential Vacaville - Napa Valley,
2025-05-08,6,nutmd,203817,Sonesta Essential Vacaville - Napa Valley,
2025-05-08,6,nutmd,304919,Hotel Sete Cidades,
2025-05-08,6,nutmd,215049,Big 7 Motel,
2025-05-08,6,nutmd,215049,Big 7 Motel,
2025-05-08,6,nutmd,215049,Big 7 Motel,
2025-05-08,6,nutmd,443716,Rodeway Inn Phoenix North I-17,
2025-05-08,6,nutmd,163310,DoubleTree By Hilton Dallas - Market Center,
2025-05-08,6,nutmd,607981,La Quinta Inn & Suites By Wyndham Page At Lake Powell,
2025-05-08,6,nutmd,607981,La Quinta Inn & Suites By Wyndham Page At Lake Powell,
2025-05-08,6,nutmd,607981,La Quinta Inn & Suites By Wyndham Page At Lake Powell,
2025-05-08,6,nutmd,273392,Grand Bavaro Princess - All Inclusive,
2025-05-08,6,nutmd,195863,Extend-A-Suites Phoenix,
2025-05-08,6,nutmd,195863,Extend-A-Suites Phoenix,
2025-05-08,6,nutmd,199873,Universals Loews Royal Pacific Resort,
2025-05-08,6,nutmd,350935,Prestige Aberdeen Lodge Kamloops,
2025-05-08,6,nutmd,350935,Prestige Aberdeen Lodge Kamloops,
2025-05-08,6,nutmd,363575,Haka House Wellington,
2025-05-08,6,nutmd,488154,Yavapai Lodge,
2025-05-08,6,nutmd,488154,Yavapai Lodge,
2025-05-08,6,nutmd,488154,Yavapai Lodge,
2025-05-08,6,nutmd,191994,Comfort Inn & Suites,
2025-05-08,6,nutmd,243860,Park Manor Hotel,
2025-05-08,6,nutmd,538654,Sonesta Suites Scottsdale Gainey Ranch,
2025-05-08,6,nutmd,117401,Comfort Suites Fort Wayne - Southwest,
2025-05-08,6,nutmd,724389,Aura Hotel,
2025-05-08,6,nutmd,724389,Aura Hotel,
2025-05-08,6,nutmd,538654,Sonesta Suites Scottsdale Gainey Ranch,
2025-05-08,6,nutmd,724389,Aura Hotel,
2025-05-08,6,nutmd,129979,"La Quinta Resort & Club, Curio Collection By Hilton",
2025-05-08,6,nutmd,129979,"La Quinta Resort & Club, Curio Collection By Hilton",
2025-05-08,6,nutmd,129979,"La Quinta Resort & Club, Curio Collection By Hilton",
2025-05-08,6,nutmd,191075,Mercure North Melbourne,
2025-05-08,6,nutmd,122103,"The Midtowner Hotel, SureStay Collection By Best Western",
2025-05-08,6,nutmd,191075,Mercure North Melbourne,
2025-05-08,6,nutmd,191075,Mercure North Melbourne,
2025-05-08,6,nutmd,191075,Mercure North Melbourne,
2025-05-08,6,nutmd,191075,Mercure North Melbourne,
2025-05-08,6,nutmd,191075,Mercure North Melbourne,
2025-05-08,6,nutmd,130896,HomeTowne Studios By Red Roof St. Louis - Airport/ N Lindbergh,
2025-05-08,6,nutmd,142179,Super 8 By Wyndham Gardiner/Yellowstone Park Area,
2025-05-08,7,nutmd,486841,Ibis Budget Sydney Olympic Park,
2025-05-08,7,nutmd,486841,Ibis Budget Sydney Olympic Park,
2025-05-08,7,nutmd,486841,Ibis Budget Sydney Olympic Park,
2025-05-08,7,nutmd,486841,Ibis Budget Sydney Olympic Park,
2025-05-08,7,nutmd,486841,Ibis Budget Sydney Olympic Park,
2025-05-08,7,nutmd,204902,Citadines Bastille Marais Paris,
2025-05-08,7,nutmd,233919,Quality Inn & Suites,
2025-05-08,7,nutmd,1538121,Butterfly On LKF Boutique Hotel Central,
2025-05-08,7,nutmd,1538121,Butterfly On LKF Boutique Hotel Central,
2025-05-08,7,nutmd,1538121,Butterfly On LKF Boutique Hotel Central,
2025-05-08,7,nutmd,1538121,Butterfly On LKF Boutique Hotel Central,
2025-05-08,7,nutmd,1538121,Butterfly On LKF Boutique Hotel Central,
2025-05-08,7,nutmd,124965,Millennium Biltmore Los Angeles,
2025-05-08,7,nutmd,173678,GLo Best Western Mississauga Corporate Centre,
2025-05-08,7,nutmd,127894,Sonesta Redondo Beach & Marina,
2025-05-08,7,nutmd,1700271780,"Wildflower Farms, Auberge Resorts Collection",
2025-05-08,7,nutmd,239180,Fontainebleau Miami Beach,
2025-05-08,7,nutmd,672954,Toyoko Inn Osaka Sakai-Higashi-Eki,
2025-05-08,7,nutmd,112071,Renaissance Orlando At SeaWorld,
2025-05-08,7,nutmd,639938,Kazakhstan,
2025-05-08,7,nutmd,639938,Kazakhstan,
2025-05-08,7,nutmd,334711,Goethe Hotel Messe By Trip Inn,
2025-05-08,7,nutmd,112922,New York Hilton Midtown,
2025-05-08,7,nutmd,112922,New York Hilton Midtown,
2025-05-08,7,nutmd,115782,Residence Inn By Marriott Hartford Windsor,
2025-05-08,7,nutmd,115782,Residence Inn By Marriott Hartford Windsor,
2025-05-08,7,nutmd,178315,"Country Inn & Suites By Radisson, Georgetown, KY",
2025-05-08,8,nutmd,459729,"Amedia Express Bielefeld, Trademark Collection By Wyndham",
2025-05-08,8,nutmd,131554,Sonesta Denver Downtown,
2025-05-08,8,nutmd,131554,Sonesta Denver Downtown,
2025-05-08,8,nutmd,236148,OYO Hotel & Casino Las Vegas,
2025-05-08,8,nutmd,175907,DoubleTree By Hilton San Juan,
2025-05-08,8,nutmd,1701645407,Tru By Hilton Toronto Airport West,
2025-05-08,8,nutmd,153668,NH Collection Milano Porta Nuova,
2025-05-08,8,nutmd,161293,Paris Las Vegas Resort & Casino,
2025-05-08,8,nutmd,161293,Paris Las Vegas Resort & Casino,
2025-05-08,8,nutmd,477970,Flag Motor Lodge,
2025-05-08,8,nutmd,1964640,La Quinta Inn & Suites By Wyndham Clovis CA,
2025-05-08,8,nutmd,177015,Best Western The Plaza Hotel,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
